Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
MIL,82,243.0,35.6,78.0,0.456,3.0,8.6,0.354,32.5,69.5,0.469,20.3,26.4,0.767,12.6,27.3,39.9,20.1,8.9,4.4,16.9,23.4,94.5,False
POR,82,241.8,35.2,78.0,0.451,4.0,12.8,0.309,31.2,65.2,0.479,20.0,27.1,0.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3,True
DET,82,243.4,34.9,77.7,0.449,3.6,11.4,0.312,31.3,66.3,0.473,20.8,27.9,0.745,12.7,28.5,41.2,19.5,8.3,4.2,14.6,22.0,94.2,False
PHI,82,240.9,34.6,78.2,0.44299999999999995,3.0,9.9,0.3,31.6,68.3,0.46299999999999997,21.1,28.7,0.737,13.7,28.0,41.7,21.1,8.9,6.0,16.5,22.9,93.3,False
SAC,82,240.6,36.1,81.5,0.442,3.5,9.8,0.35100000000000003,32.6,71.7,0.455,17.6,25.6,0.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1,False
SAS,82,241.8,35.3,75.5,0.46799999999999997,3.7,10.5,0.35,31.7,64.9,0.488,18.2,26.4,0.688,12.0,32.2,44.2,22.4,6.3,6.9,16.1,21.1,92.5,True
CLE,82,241.8,34.4,75.7,0.45399999999999996,3.6,9.8,0.37200000000000005,30.7,65.9,0.466,20.2,26.7,0.7559999999999999,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5,True
NYK,82,241.8,34.9,78.2,0.447,4.7,13.9,0.335,30.3,64.3,0.47100000000000003,17.1,22.1,0.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6,True
DAL,82,242.7,35.1,82.4,0.42700000000000005,5.1,14.4,0.35700000000000004,30.0,67.9,0.442,16.0,21.2,0.753,12.3,27.8,40.1,18.7,7.9,5.7,14.4,20.0,91.4,False
ORL,82,241.8,33.8,78.7,0.429,3.6,11.1,0.32299999999999995,30.2,67.7,0.447,18.9,26.1,0.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1,False
DEN,82,240.6,32.6,78.2,0.41700000000000004,3.5,10.9,0.32299999999999995,29.1,67.3,0.433,20.2,26.2,0.772,12.7,26.3,39.0,18.9,8.1,4.8,16.0,23.6,89.0,False
GSW,82,241.8,34.7,83.9,0.413,2.3,8.5,0.272,32.4,75.5,0.429,16.6,23.3,0.71,15.7,30.2,45.9,20.8,7.6,5.5,16.7,22.7,88.3,False
