Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
NYK,82,241.5,38.2,80.4,0.475,0.5,2.0,0.22899999999999998,37.7,78.4,0.48100000000000004,20.7,27.6,0.75,13.1,28.5,41.6,22.8,8.5,4.9,20.5,25.8,97.5,True
WSB,82,241.5,40.2,85.9,0.46799999999999997,0.5,2.0,0.22699999999999998,39.8,83.9,0.474,18.4,25.4,0.725,13.6,30.7,44.2,22.8,8.5,6.8,18.8,24.1,99.3,False
PHO,82,240.6,40.3,88.6,0.455,0.5,2.4,0.221,39.8,86.2,0.462,20.8,27.7,0.753,14.8,28.4,43.1,24.2,8.7,4.2,19.0,24.9,102.0,True
MIL,82,241.8,40.7,89.2,0.456,0.5,2.5,0.182,40.2,86.7,0.46399999999999997,20.3,27.4,0.742,15.9,28.6,44.5,24.9,7.6,3.7,18.6,26.2,102.2,True
ATL,82,241.2,41.3,87.8,0.47,0.5,2.0,0.235,40.8,85.8,0.475,19.6,27.3,0.7190000000000001,15.9,31.4,47.2,23.5,8.0,4.7,17.9,24.2,102.6,True
NJN,82,240.3,40.6,84.9,0.478,0.5,2.5,0.21600000000000003,40.0,82.4,0.486,21.3,28.9,0.737,13.4,26.5,40.0,24.1,10.5,6.0,22.8,26.0,103.0,True
PHI,82,241.8,42.0,91.1,0.461,0.7,3.0,0.217,41.3,88.1,0.469,19.8,27.5,0.721,16.2,27.6,43.8,25.5,9.2,6.2,19.4,27.4,104.4,True
CLE,82,240.9,41.2,84.3,0.489,0.4,1.8,0.21899999999999997,40.8,82.5,0.495,21.7,29.2,0.743,11.9,29.0,40.9,24.5,7.6,5.3,15.5,22.3,104.6,False
POR,82,240.9,42.7,87.9,0.486,0.7,2.3,0.293,42.0,85.6,0.491,19.2,25.0,0.768,13.7,28.8,42.6,25.3,8.0,6.1,18.9,27.2,105.3,True
BOS,82,241.8,42.4,90.3,0.47,0.6,2.2,0.267,41.8,88.1,0.475,21.3,28.1,0.759,14.5,29.2,43.6,24.7,8.5,4.1,19.6,26.1,106.7,True
SEA,82,241.5,43.2,93.9,0.46,0.6,2.4,0.249,42.6,91.5,0.466,19.7,26.6,0.7390000000000001,16.0,29.2,45.3,26.2,8.9,4.4,17.6,26.2,106.8,True
LAL,82,240.6,45.5,92.9,0.49,0.7,2.6,0.259,44.9,90.3,0.49700000000000005,17.7,24.5,0.725,15.8,26.4,42.2,29.1,9.3,4.6,19.0,22.7,109.5,True
SAS,82,241.2,44.6,91.8,0.485,0.6,2.5,0.254,43.9,89.4,0.49200000000000005,20.9,27.3,0.7659999999999999,14.1,27.6,41.7,28.4,8.0,5.6,17.4,26.8,110.7,True
HOU,82,240.6,44.4,88.3,0.503,0.4,1.5,0.264,44.0,86.8,0.507,21.7,29.0,0.75,14.6,33.0,47.7,27.5,9.4,5.0,18.3,23.6,110.9,False
KCK,82,241.2,43.1,88.4,0.48700000000000004,0.5,2.3,0.213,42.6,86.1,0.494,25.7,35.2,0.73,15.2,29.3,44.5,24.4,9.9,5.4,20.9,27.4,112.3,False
GSW,82,241.2,45.2,88.5,0.51,0.5,2.0,0.251,44.7,86.5,0.517,21.4,29.2,0.732,15.2,30.4,45.7,26.5,9.2,6.0,20.6,24.7,112.3,False
DET,82,242.4,46.4,93.6,0.495,0.3,2.2,0.115,46.1,91.4,0.504,20.1,27.9,0.72,15.4,31.6,47.1,27.5,9.3,6.8,19.3,28.4,113.1,False
DAL,82,240.6,45.8,91.2,0.502,0.6,2.5,0.262,45.2,88.8,0.509,20.8,28.6,0.728,14.8,29.7,44.5,27.9,7.4,6.9,16.9,27.2,113.1,False
UTA,82,240.9,46.3,96.7,0.478,0.6,2.4,0.24100000000000002,45.7,94.3,0.484,20.1,27.9,0.7190000000000001,17.5,32.6,50.1,26.9,10.1,5.5,19.5,25.6,113.2,False
SDC,82,241.8,44.5,84.3,0.529,0.4,1.6,0.24600000000000002,44.1,82.7,0.534,23.9,32.0,0.748,13.4,28.8,42.2,25.7,9.6,6.3,21.0,23.9,113.4,False
IND,82,241.8,46.0,88.8,0.517,0.5,1.7,0.282,45.5,87.1,0.522,22.1,29.4,0.752,14.7,31.3,46.0,27.3,9.3,5.4,20.0,23.0,114.5,False
CHI,82,242.7,46.5,94.0,0.495,0.6,2.1,0.261,46.0,91.9,0.5,22.3,29.7,0.7490000000000001,14.6,30.0,44.5,27.2,10.3,7.7,17.8,27.6,115.9,False
DEN,82,240.6,50.0,99.0,0.505,0.9,3.1,0.281,49.1,95.9,0.512,21.8,29.2,0.747,16.7,32.9,49.6,29.1,8.9,7.5,20.0,28.7,122.6,True
