Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
SAS,29.6,16.0,7.0,0.696,18,5,114.2,104.2,10.0,92.7,0.291,0.267,0.583,0.546,12.1,23.6,0.223,0.492,13.4,77.2,0.197,False
LAC,28.2,6.0,7.0,0.462,7,6,113.3,111.3,2.0,96.0,0.334,0.302,0.555,0.515,11.4,26.2,0.244,0.521,14.9,70.4,0.272,False
MIA,31.1,13.0,7.0,0.65,11,9,112.8,110.8,2.0,86.2,0.305,0.326,0.594,0.555,12.9,17.1,0.238,0.539,14.2,75.3,0.22,False
WAS,26.8,6.0,5.0,0.545,6,5,102.0,100.9,1.1,87.8,0.285,0.211,0.504,0.468,12.5,27.9,0.198,0.471,12.7,79.7,0.227,False
HOU,25.2,2.0,4.0,0.333,3,3,114.8,114.4,0.4,92.7,0.325,0.28,0.534,0.49,11.7,35.3,0.242,0.507,10.6,72.8,0.258,False
ATL,27.9,3.0,4.0,0.429,3,4,101.9,103.0,-1.1,90.7,0.316,0.417,0.515,0.456,13.1,20.4,0.261,0.5,14.6,76.2,0.22,False
IND,27.1,10.0,9.0,0.526,9,10,103.7,104.8,-1.1,88.3,0.314,0.258,0.54,0.5,13.8,21.1,0.228,0.493,13.6,77.0,0.218,False
OKC,26.6,10.0,9.0,0.526,9,10,108.1,109.2,-1.1,92.3,0.327,0.287,0.551,0.496,14.0,27.1,0.268,0.485,10.5,74.2,0.212,False
BRK,30.7,5.0,7.0,0.417,5,7,110.5,112.0,-1.5,86.4,0.33,0.302,0.555,0.514,12.5,25.1,0.243,0.516,13.3,77.0,0.306,False
TOR,25.2,3.0,4.0,0.429,3,4,108.2,110.0,-1.8,88.8,0.391,0.283,0.553,0.486,15.0,26.8,0.326,0.506,11.8,77.0,0.291,False
DAL,31.3,3.0,4.0,0.429,3,4,110.0,112.1,-2.1,92.0,0.217,0.259,0.532,0.5,10.7,26.4,0.166,0.542,13.4,76.6,0.245,False
GSW,26.2,3.0,4.0,0.429,3,4,110.2,114.8,-4.6,96.6,0.335,0.316,0.558,0.518,15.3,30.8,0.244,0.529,12.9,72.1,0.29,False
CHI,28.6,1.0,4.0,0.2,2,3,103.0,108.3,-5.3,85.6,0.29,0.244,0.508,0.463,13.0,27.9,0.219,0.479,10.2,72.2,0.225,False
MEM,29.7,3.0,4.0,0.429,2,5,102.8,108.5,-5.7,88.8,0.293,0.173,0.486,0.442,10.1,27.0,0.214,0.483,14.1,69.0,0.263,False
POR,25.8,5.0,6.0,0.455,3,8,107.2,113.6,-6.4,94.6,0.281,0.26,0.529,0.482,12.3,26.1,0.224,0.508,10.4,70.6,0.208,False
CHO,25.5,0.0,4.0,0.0,1,3,101.5,112.3,-10.8,90.6,0.312,0.282,0.537,0.5,14.9,20.8,0.223,0.539,10.7,85.7,0.26,False
