Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
DET,27.3,16.0,7.0,0.696,17,6,99.3,92.0,7.3,86.1,0.359,0.182,0.493,0.439,14.4,30.2,0.263,0.423,15.4,74.6,0.227,False
IND,26.7,10.0,6.0,0.625,11,5,98.9,93.7,5.2,86.5,0.33,0.237,0.497,0.448,13.6,25.5,0.242,0.422,15.6,74.4,0.27,False
SAS,26.8,6.0,4.0,0.6,6,4,102.4,98.8,3.6,87.2,0.314,0.248,0.515,0.485,15.2,30.1,0.202,0.482,15.3,77.1,0.256,False
BRK,27.7,7.0,4.0,0.636,7,4,96.4,93.7,2.7,88.9,0.416,0.225,0.512,0.454,17.7,26.5,0.303,0.419,15.0,72.0,0.245,False
DAL,26.7,1.0,4.0,0.2,3,2,103.4,102.0,1.4,96.3,0.245,0.18,0.466,0.422,11.3,36.7,0.189,0.481,14.7,71.6,0.204,False
LAL,30.2,13.0,9.0,0.591,12,10,100.8,99.8,1.0,86.6,0.375,0.207,0.508,0.477,12.7,24.4,0.229,0.456,14.3,72.2,0.237,False
MIA,25.9,6.0,7.0,0.462,7,6,97.3,97.1,0.2,86.4,0.343,0.179,0.489,0.433,14.1,27.2,0.258,0.445,15.8,72.8,0.257,False
SAC,29.0,7.0,5.0,0.583,6,6,101.0,100.9,0.1,93.4,0.299,0.202,0.507,0.46,13.2,24.8,0.227,0.447,13.4,69.3,0.208,False
MIN,30.0,10.0,8.0,0.556,9,9,101.9,101.9,0.0,89.8,0.302,0.198,0.527,0.479,14.7,24.2,0.236,0.463,12.1,73.3,0.211,False
NOP,30.1,3.0,4.0,0.429,3,4,92.5,95.9,-3.4,87.1,0.272,0.243,0.472,0.422,16.7,28.5,0.212,0.431,14.9,71.4,0.249,False
DEN,26.5,1.0,4.0,0.2,2,3,99.2,103.6,-4.4,91.4,0.193,0.149,0.479,0.452,13.1,31.7,0.135,0.503,15.9,75.8,0.253,False
HOU,28.0,1.0,4.0,0.2,1,4,94.5,100.5,-6.0,87.7,0.306,0.204,0.501,0.458,16.6,24.0,0.22,0.458,10.2,77.7,0.226,False
NYK,28.5,0.0,4.0,0.0,0,4,90.4,104.1,-13.7,92.9,0.316,0.181,0.461,0.411,15.1,26.3,0.228,0.505,18.1,73.9,0.333,False
MIL,27.5,1.0,4.0,0.2,1,4,95.3,109.3,-14.0,89.9,0.278,0.185,0.49,0.447,15.8,25.8,0.206,0.494,13.3,68.3,0.24,False
MEM,26.0,0.0,4.0,0.0,0,4,97.1,113.4,-16.3,86.0,0.324,0.176,0.504,0.45,14.7,23.8,0.252,0.561,16.4,68.5,0.233,False
BOS,26.2,0.0,4.0,0.0,0,4,92.1,110.4,-18.3,91.7,0.383,0.223,0.513,0.445,19.3,23.1,0.309,0.501,11.9,72.2,0.195,False
