Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
GSW,28.3,16.0,1.0,0.941,14,3,119.0,105.5,13.5,100.3,0.292,0.37799999999999995,0.608,0.5670000000000001,12.2,22.4,0.23800000000000002,0.48700000000000004,12.3,76.6,0.212,False
CLE,29.3,13.0,5.0,0.722,13,5,120.3,112.1,8.2,96.6,0.316,0.408,0.614,0.579,12.1,23.6,0.242,0.521,11.9,76.1,0.18899999999999997,False
HOU,28.1,6.0,5.0,0.545,6,5,110.7,109.5,1.2,96.4,0.304,0.452,0.5589999999999999,0.514,12.7,22.7,0.24,0.502,11.1,71.7,0.187,False
SAS,29.5,8.0,8.0,0.5,9,7,113.4,112.3,1.1,93.2,0.27699999999999997,0.282,0.551,0.512,11.6,29.1,0.214,0.539,13.1,78.5,0.20800000000000002,False
WAS,26.1,7.0,6.0,0.5379999999999999,7,6,110.9,110.9,0.0,96.7,0.281,0.302,0.5489999999999999,0.505,12.3,26.6,0.223,0.525,13.3,76.2,0.244,False
MIL,25.0,2.0,4.0,0.33299999999999996,3,3,103.0,103.7,-0.7,90.5,0.267,0.27699999999999997,0.5329999999999999,0.503,13.2,19.1,0.18600000000000003,0.494,14.4,80.6,0.27899999999999997,False
ATL,27.2,2.0,4.0,0.33299999999999996,3,3,107.3,108.5,-1.2,98.4,0.34299999999999997,0.32299999999999995,0.542,0.493,14.1,26.4,0.262,0.502,11.8,77.3,0.22699999999999998,False
LAC,30.9,3.0,4.0,0.429,3,4,108.8,110.0,-1.2,89.8,0.312,0.304,0.5579999999999999,0.526,12.2,19.9,0.217,0.542,12.4,82.1,0.223,False
BOS,25.9,9.0,9.0,0.5,7,11,111.4,114.5,-3.1,93.9,0.242,0.41,0.5660000000000001,0.532,12.6,22.2,0.187,0.531,13.1,71.5,0.22699999999999998,False
IND,26.4,0.0,4.0,0.0,2,2,114.7,118.9,-4.2,94.8,0.247,0.33,0.564,0.53,12.1,28.3,0.19,0.565,11.9,75.2,0.233,False
UTA,27.8,4.0,7.0,0.364,4,7,106.2,111.3,-5.1,92.1,0.298,0.331,0.552,0.515,12.0,16.7,0.218,0.5329999999999999,11.4,81.3,0.22399999999999998,False
TOR,26.9,4.0,6.0,0.4,3,7,103.8,109.9,-6.1,93.1,0.28300000000000003,0.29600000000000004,0.541,0.493,12.6,17.3,0.23,0.539,13.2,81.3,0.222,False
CHI,26.6,2.0,4.0,0.33299999999999996,2,4,104.8,112.2,-7.4,92.1,0.24,0.285,0.529,0.483,14.4,29.6,0.204,0.534,11.8,78.5,0.163,False
OKC,25.3,1.0,4.0,0.2,1,4,105.7,114.4,-8.7,98.6,0.309,0.309,0.525,0.49,11.4,26.0,0.213,0.513,13.1,74.8,0.32,False
MEM,29.7,2.0,4.0,0.33299999999999996,1,5,110.3,119.8,-9.5,85.8,0.263,0.313,0.5589999999999999,0.51,11.6,20.3,0.22899999999999998,0.545,11.4,73.9,0.266,False
POR,24.8,0.0,4.0,0.0,0,4,99.3,116.9,-17.6,102.3,0.271,0.38,0.507,0.45799999999999996,13.2,20.6,0.218,0.556,11.1,81.0,0.258,False
