Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
BOS,28.9,16.0,10.0,0.615,18,8,109.4,103.3,6.1,85.9,0.354,0.224,0.541,0.487,12.9,29.5,0.277,0.463,14.4,74.6,0.313,False
NOP,26.7,7.0,5.0,0.583,8,4,111.5,107.3,4.2,86.6,0.25,0.173,0.537,0.499,8.9,24.2,0.193,0.483,12.3,73.2,0.235,False
DET,28.8,10.0,7.0,0.588,10,7,108.0,105.2,2.8,84.7,0.32,0.179,0.538,0.485,13.2,27.7,0.257,0.478,14.7,68.7,0.275,False
CLE,27.1,7.0,6.0,0.538,8,5,104.6,102.1,2.5,85.9,0.395,0.262,0.517,0.465,13.7,29.1,0.285,0.46,13.4,75.2,0.285,False
LAL,27.4,14.0,7.0,0.667,12,9,110.0,107.6,2.4,92.7,0.371,0.241,0.56,0.512,12.7,22.2,0.279,0.477,12.3,71.1,0.255,False
ORL,26.4,5.0,5.0,0.5,6,4,111.0,109.2,1.8,87.5,0.322,0.336,0.564,0.529,14.4,29.0,0.229,0.464,8.9,75.0,0.226,False
UTA,25.4,6.0,6.0,0.5,6,6,110.1,110.4,-0.3,89.1,0.33,0.204,0.528,0.481,12.1,33.4,0.247,0.49,12.2,73.7,0.314,False
SAS,31.6,9.0,8.0,0.529,8,9,103.9,104.8,-0.9,89.5,0.261,0.252,0.529,0.493,12.6,21.4,0.194,0.486,10.8,77.6,0.197,False
PHO,29.4,1.0,4.0,0.2,2,3,104.1,106.1,-2.0,92.6,0.369,0.18,0.524,0.492,11.5,21.9,0.235,0.493,11.9,76.3,0.216,False
HOU,29.0,2.0,4.0,0.333,2,4,103.8,106.7,-2.9,84.8,0.333,0.254,0.488,0.446,10.7,29.8,0.227,0.482,12.4,69.3,0.231,False
WAS,27.7,2.0,4.0,0.333,2,4,104.9,108.7,-3.8,87.9,0.386,0.262,0.524,0.466,12.3,23.4,0.295,0.485,13.2,67.8,0.265,False
TOR,26.2,1.0,4.0,0.2,2,3,110.1,115.2,-5.1,90.3,0.224,0.28,0.528,0.484,9.6,23.1,0.194,0.533,13.3,69.7,0.26,False
PHI,25.0,2.0,4.0,0.333,2,4,99.8,107.9,-8.1,86.0,0.402,0.105,0.488,0.43,14.4,33.9,0.29,0.523,17.0,67.0,0.188,False
DAL,29.6,1.0,4.0,0.2,1,4,108.0,118.2,-10.2,87.0,0.381,0.264,0.511,0.447,11.2,31.7,0.299,0.527,8.4,75.5,0.206,False
DEN,27.9,0.0,4.0,0.0,1,3,104.3,117.9,-13.6,97.4,0.328,0.203,0.501,0.452,12.5,34.6,0.243,0.536,10.7,74.1,0.24,False
ATL,23.8,3.0,4.0,0.429,1,6,101.6,115.6,-14.0,85.8,0.441,0.174,0.512,0.439,15.7,30.5,0.345,0.503,10.4,67.3,0.206,False
